Elsa Fukuda,34.9,10026500,
Alejandra Harbor,98.4,10026962,
Liliana Quispe,21.1,10016827,
Enzo Smith,42.6,10004827,
Enzo Arevalo,82.2,10000153,
Chamber Omen,96.5,10019718,
William Breach,71.9,10011538,
Miguel Fukuda,79.4,10017035,
Alvaro Oliveira,62.3,10030333,
Alejandra Omen,51.8,10028253,
William Arevalo,42.7,10032757,
Yoru Skye,81.8,10027529,
Diana Smith,50.8,10001842,
Camila Brimstone,82.8,10019264,
Camila Quispe,70.0,10006729,
Juan Breach,81.8,10024393,
Astra Skye,24.6,10019954,
Mauricio Breach,36.8,10013931,
Alejandra Cypher,86.7,10011323,
Sage Harbor,22.1,10022929,
Bryan Smith,99.4,10029658,
Juan Fade,86.6,10031673,
Elsa Quispe,64.0,10019072,
Astra Fade,73.2,10005097,
Camila Fu,61.5,10018636,
William Smith,74.2,10004031,
Juan Fu,81.6,10021724,
Juan Fukuda,51.7,10018007,
Briana Fukuda,93.5,10010383,
Astra Po,98.8,10024221,
Chamber Breach,86.3,10013030,
Ahri Brimstone,51.5,10018762,
Juan Cypher,44.8,10020537,
Alvaro Smith,61.0,10003602,
Enzo Razor,34.6,10011020,
Elsa Pato,99.4,10019668,
Elsa Sniper,73.8,10001999,
Sage Brimstone,48.7,10018127,
Ahri Huscar,28.7,10022483,
Elsa Fu,77.4,10022813,
Astra Razor,75.0,10017451,
Astra Cypher,56.3,10022798,
Alejandra Pato,24.9,10032609,
Chamber Smith,25.3,10003093,
Alvaro Fukuda,54.8,10009503,
Mauricio Harbor,78.6,10020580,
Sage Omen,89.9,10020798,
Briana Propeth,42.2,10018538,
Sage Cypher,50.8,10029657,
Enzo Smith,28.1,10019156,
Chamber Sniper,52.8,10020055,
Camila Phoenix,26.3,10018875,
Astra Phoenix,24.1,10001416,
Sage Phoenix,31.9,10010021,
Briana Razor,72.5,10024389,
Miguel Brimstone,50.9,10021003,
Elsa Pato,61.5,10009789,
Alvaro Phoenix,45.5,10024182,
Ahri Breach,77.2,10023757,
Miguel Po,94.9,10025721,
Diana Po,68.5,10028692,
Reyna Sniper,89.2,10007441,
Liliana Brimstone,58.9,10003753,
Alvaro Cypher,96.9,10016687,
Astra Fade,46.3,10012949,
Reyna Fade,36.5,10028286,
Ahri Phoenix,75.4,10025734,
Elsa Razor,51.3,10005786,
Bryan Smith,85.2,10020053,
Ahri Propeth,85.6,10004313,
Elsa Harbor,66.1,10027982,
Alejandra Razor,82.1,10007129,
Reyna Fu,73.4,10010466,
Yoru Propeth,59.4,10017253,
Silvana Fu,45.6,10020649,
